,Date,Calories,Steps,Distance,Minutessedentary,Minuteslightlyactive,Minutesfairlyactive,Minutesveryactive,Minutes Asleep,Week Day
0,2018-01-01,1502,80,0.03325578619584,1432,8,0,0,,Monday
1,2018-01-02,1911,4995,2.0764050437468,744,158,9,3,510.0,Tuesday
2,2018-01-03,1547,540,0.22447655682192,1416,24,0,0,,Wednesday
3,2018-01-04,1641,2306,0.95859555161032,1387,23,28,2,,Thursday
4,2018-01-05,1648,2516,1.0458919903744,1394,46,0,0,,Friday
5,2018-01-06,1488,0,0.0,1440,0,0,0,,Saturday
6,2018-01-07,1489,0,0.0,1440,0,0,0,,Sunday
7,2018-01-08,1490,0,0.0,1440,0,0,0,,Monday
8,2018-01-09,1490,0,0.0,1440,0,0,0,,Tuesday
9,2018-01-10,1490,0,0.0,1440,0,0,0,,Wednesday
10,2018-01-11,1491,0,0.0,1440,0,0,0,,Thursday
11,2018-01-12,1491,0,0.0,1440,0,0,0,,Friday
12,2018-01-13,1491,0,0.0,1440,0,0,0,,Saturday
13,2018-01-14,1492,0,0.0,1440,0,0,0,,Sunday
14,2018-01-15,1488,0,0.0,1440,0,0,0,,Monday
15,2018-01-16,1487,0,0.0,1440,0,0,0,,Tuesday
16,2018-01-17,1486,0,0.0,1440,0,0,0,,Wednesday
17,2018-01-18,1486,0,0.0,1440,0,0,0,,Thursday
18,2018-01-19,1485,0,0.0,1440,0,0,0,,Friday
19,2018-01-20,1485,0,0.0,1440,0,0,0,,Saturday
20,2018-01-21,1485,0,0.0,1440,0,0,0,,Sunday
21,2018-01-22,1485,0,0.0,1440,0,0,0,,Monday
22,2018-01-23,1485,0,0.0,1440,0,0,0,,Tuesday
23,2018-01-24,1485,0,0.0,1440,0,0,0,,Wednesday
24,2018-01-25,1485,0,0.0,1440,0,0,0,,Thursday
25,2018-01-26,1485,0,0.0,1440,0,0,0,,Friday
26,2018-01-27,1485,0,0.0,1440,0,0,0,,Saturday
27,2018-01-28,1485,2516,1.0458919903744,1440,0,0,0,,Sunday
28,2018-01-29,1485,0,0.0,1440,0,0,0,,Monday
29,2018-01-30,2041,8022,3.33471898981832,796,95,14,41,463.0,Tuesday
30,2018-01-31,2354,11985,4.98212936260832,668,205,20,40,479.0,Wednesday
31,2018-02-01,1812,3692,1.53474956196848,830,103,13,6,465.0,Thursday
32,2018-02-02,2119,8301,3.4506979228051198,572,170,16,26,624.0,Friday
33,2018-02-03,1981,5208,2.1649504386068,913,187,9,3,285.0,Saturday
34,2018-02-04,1856,3640,1.51313827191072,629,167,0,0,603.0,Sunday
35,2018-02-05,2088,7956,3.30728545169152,915,146,19,25,353.0,Monday
36,2018-02-06,2344,12715,5.30283146222336,842,125,15,70,372.0,Tuesday
37,2018-02-07,2273,11220,4.66412401396656,672,149,32,44,522.0,Wednesday
38,2018-02-08,1998,7278,3.02544390642416,691,92,18,29,598.0,Thursday
39,2018-02-09,2084,8234,3.42284806597968,777,127,18,28,456.0,Friday
40,2018-02-10,2129,7457,3.09985310666616,767,232,3,8,410.0,Saturday
41,2018-02-11,1890,4331,1.80037953283656,615,146,6,0,627.0,Sunday
42,2018-02-12,2383,12563,5.22240117513088,654,167,35,61,485.0,Monday
43,2018-02-13,2078,7094,2.94895311268896,812,174,8,20,410.0,Tuesday
44,2018-02-14,2721,18468,7.73103202003288,737,168,44,98,373.0,Wednesday
45,2018-02-15,2110,8533,3.54714094551544,830,108,20,46,419.0,Thursday
46,2018-02-16,2050,7879,3.2752786215916,789,124,17,18,464.0,Friday
47,2018-02-17,1951,6130,2.54822461725624,730,112,17,13,537.0,Saturday
48,2018-02-18,1928,5918,2.46009554109488,779,94,11,22,511.0,Sunday
49,2018-02-19,2403,12728,5.6165431359284,784,168,21,47,410.0,Monday
50,2018-02-20,2198,10042,4.17442759126328,843,147,11,36,365.0,Tuesday
51,2018-02-21,2415,13158,5.4697441918184,612,178,26,64,540.0,Wednesday
